2013-7-15;2014-1-7
20130709;20140109
20130715;20140110
2013-10-23;2014-1-14
20130726;20140116
20130726;20140116
20131211;20140120
20130319;20140122
2013-11-1;2014-1-22
2013-10-30;2014-1-27
20130206;20140206
2013-11-7;2014-2-6
20131114;20140210
20131118;20140211
2013-11-5;2014-2-12
20131115;20140213
2013-8-16;2014-2-14
2013-8-21;2014-2-14
2013-8-21;2014-2-17
2013-8-27;2014-2-17
2013-10-16;2014-2-17
20131108;20140217
20131119;20140217
20131120;20140217
2013-8-23;2014-2-18
2013-8-23;2014-2-18
2013-8-23;2014-2-19
20130308;20140219
20130308;20140219
2013-8-28;2014-2-19
20131127;20140224
2013-9-4;2014-2-25
2013-10-10;2014-2-26
20131120;20140226
2013-9-4;2014-2-28
2013-9-4;2014-2-28
2013-9-4;2014-2-28
2013-9-4;2014-2-28
2013-9-6;2014-3-3
20130307;20140307
2013-9-11;2014-3-7
2013-9-11;2014-3-10
2013-9-12;2014-3-11
20131111;20140311
2013-9-16;2014-3-12
2013-9-16;2014-3-12
20131217;20140312
2013-9-16;2014-3-13
2013-9-18;2014-3-18
2013-8-20;2014-3-20
2013-9-25;2014-3-24
20131224;20140324
2013-9-26;2014-3-25
2013-8-14;2014-3-27
2013-8-21;2014-3-28
2013-9-27;2014-3-28
2013-10-12;2014-4-1
2013-10-11;2014-4-7
2013-10-12;2014-4-7
2013-10-12;2014-4-7
2013-10-11;2014-4-8
2013-10-12;2014-4-8
2013-10-12;2014-4-8
2013-10-12;2014-4-9
2013-10-12;2014-4-9
2013-10-12;2014-4-9
2013-10-14;2014-4-8
2013-10-14;2014-4-9
2013-10-15;2014-4-10
20131126;20140410
2013-10-15;2014-4-11
2013-10-15;2014-4-11
2013-10-15;2014-4-11
2013-10-15;2014-4-11
2013-10-18;2014-4-14
20131115;20140414
2013-10-17;2014-4-15
2013-10-18;2014-4-15
2013-10-18;2014-4-15
20140115;20140415
2013-10-18;2014-4-16
2013-10-18;2014-4-16
2013-10-24;2014-4-16
2013-10-21;2014-4-18
2013-10-21;2014-4-18
2013-10-21;2014-4-18
2013-10-22;2014-4-18
2013-10-23;2014-4-18
2013-8-22;2014-4-21
2013-10-24;2014-4-21
20140123;20140421
20140122;20140422
2013-10-24;2014-4-23
2013-10-24;2014-4-24
20131126;20140424
20131225;20140424
20140124;20140424
20130418;20140425
2013-10-28;2014-4-25
2013-10-31;2014-4-28
2013-10-29;2014-4-29
2013-10-29;2014-4-29
2013-10-30;2014-4-29
20121102;20140430
2013-11-5;2014-5-4
2013-11-7;2014-5-4
2013-11-6;2014-5-5
2013-11-7;2014-5-5
2013-11-7;2014-5-5
2013-11-7;2014-5-5
2013-11-7;2014-5-5
2013-11-7;2014-5-5
2013-11-7;2014-5-5
2013-11-7;2014-5-5
2013-11-7;2014-5-6
20131108;20140505
20131108;20140506
20131108;20140506
20131111;20140506
20131115;20140506
20140107;20140506
20131111;20140507
20131111;20140507
20131112;20140507
20131115;20140507
20131120;20140507
20140108;20140507
20131108;20140508
20140110;20140508
20130509;20140509
20131112;20140509
20131112;20140509
20140117;20140509
20131113;20140512
20131113;20140512
20131113;20140512
20131114;20140512
20131114;20140513
20131115;20140513
20131115;20140513
20131120;20140513
20131120;20140513
20131113;20130514
20131115;20140514
20131115;20140514
20131118;20140514
20131120;20140514
20131115;20140515
20131120;20140515
20131119;20140519
20131120;20140519
20131120;20140519
20131120;20140519
20131120;20140519
20131120;20140519
20131121;20140519
20131121;20140519
20131126;20140520
20131206;20140520
20131120;20140521
20131126;20140523
20131127;20140523
20131126;20140526
20131127;20140526
20131202;20140528
20131206;20140529
20131206;20140529
20131206;20140529
20131206;20140529
20130530;20140530
20131205;20140530
20131204;20140603
20131205;20140603
20131205;20140603
20131205;20140603
20131205;20140603
20131206;20140603
20131206;20140603
20131206;20140603
20130604;20140604
20131209;20140604
20131209;20140604
20131209;20140604
20131211;20140609
20131210;20140610
20131211;20140610
20131216;20140610
20131224;20140612
20131218;20140613
20131218;20140613
20131219;20140613
20131219;20140613
20140108;20140616
20131219;20140617
20131224;20140620
20131227;20140626
20140123;20140701
20140106;20140702
20140108;20140704
20140108;20140704
20140108;20140704
20140108;20140707
20140110;20140707
20140110;20140707
20140110;20140707
20140110;20140707
20140110;20140707
20140115;20140707
20140113;20140708
20140115;20140708
20140115;20140708
20140110;20140709
20140114;20140709
20140114;20140709
20140114;20140709
20140114;20140709
20140114;20140709
20140114;20140709
20140114;20140709
20140114;20140709
20140113;20140710
20140115;20140711
20140115;20140711
20140115;20140711
20140113;20140714
20140115;20140714
20140115;20140714
20140116;20140714
20140116;20140714
20140116;20140714
20140116;20140714
20140116;20140714
20140116;20140715
20140116;20140715
20140117;20140716
20140123;20140717
20140121;20140718
20140122;20140718
20140122;20140721
20140123;20140721
20140123;20140721
20140123;20140721
20140123;20140722
20140124;20140722
20140123;20140723
20140124;20140723
20140124;20140723
2013-8-21;2014-8-20
20121026;20141028
20121214;20141211
20121212;20141212
20130206;20150206
20130416;20150416
